occurrence_no,collection_no,identified_name,identified_rank,accepted_name,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,abund_value,abund_unit,taxon_environment,diet,composition,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
175024,16396,Miocyon cf. major,species,Miocyon major,Bridgerian,,50.3,46.2,6294,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-109.900002,40.200001,US,Utah,Uintah,based on political unit,1,small collection,2 mi SE of Powder Springs
175026,16396,Miacidae indet.,family,Miacidae,Bridgerian,,50.3,46.2,2182,Chordata,Mammalia,Carnivora,Miacidae,,,,terrestrial,carnivore,phosphatic,-109.900002,40.200001,US,Utah,Uintah,based on political unit,1,small collection,2 mi SE of Powder Springs
175139,16415,Miacis cf. latidens,species,Miacis latidens,Bridgerian,,50.3,46.2,3329,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,
175140,16415,Miacis cf. parvivorus,species,Miacis parvivorus,Bridgerian,,50.3,46.2,3329,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,
175141,16415,Vulpavus canavus,species,Vulpavus canavus,Bridgerian,,50.3,46.2,3329,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Vulpavus,,,terrestrial,"carnivore, omnivore",phosphatic,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,
175175,16418,Miacis parvivorus,species,Miacis parvivorus,Bridgerian,,50.3,46.2,2640,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-111.024399,41.308102,US,Wyoming,Uinta,stated in text,4,small collection,"NW 1/4 sec 1 and NE 1/4 sec 2, T15N, R121W according to Nelson 1974"
175176,16418,Miacidae indet.,family,Miacidae,Bridgerian,,50.3,46.2,2640,Chordata,Mammalia,Carnivora,Miacidae,,,,terrestrial,carnivore,phosphatic,-111.024399,41.308102,US,Wyoming,Uinta,stated in text,4,small collection,"NW 1/4 sec 1 and NE 1/4 sec 2, T15N, R121W according to Nelson 1974"
175235,16438,Carnivora ? indet.,order,Carnivora,Bridgerian,,50.3,46.2,71260,Chordata,Mammalia,Carnivora,,,,,terrestrial,"carnivore, omnivore",phosphatic,-110.800003,43.900002,US,Wyoming,Teton,based on political unit,1,outcrop,
175284,16448,Palaearctonyx n. sp. meadi,species,Palaearctonyx meadi,Bridgerian,,50.3,46.2,1623,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Palaearctonyx,,,terrestrial,"carnivore, omnivore",phosphatic,-109,41.700001,US,Wyoming,Sweetwater,based on political unit,1,,
175413,16499,Viverravinae indet.,subfamily,Viverravinae,Bridgerian,,50.3,46.2,1115,Chordata,Mammalia,Carnivora,Miacidae,,,,terrestrial,carnivore,phosphatic,-108.699997,43.700001,US,Wyoming,Hot Springs,based on political unit,1,small collection,
175414,16499,Miacidae indet.,family,Miacidae,Bridgerian,,50.3,46.2,6294,Chordata,Mammalia,Carnivora,Miacidae,,,,terrestrial,carnivore,phosphatic,-108.699997,43.700001,US,Wyoming,Hot Springs,based on political unit,1,small collection,
175470,16511,Procynodictis vulpiceps,species,Procynodictis vulpiceps,Uintan,,46.2,40.4,1344,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,Badwater Creek
175644,16531,Carnivora indet.,order,Carnivora,Uintan,,46.2,40.4,947,Chordata,Mammalia,Carnivora,,,,,terrestrial,"carnivore, omnivore",phosphatic,-109.900002,40.200001,US,Utah,Uintah,based on political unit,1,,
175704,16542,cf. Miocyon sp.,genus,Miocyon,Late Uintan,,46.2,40.4,6294,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,1,specimens,terrestrial,"carnivore, omnivore",phosphatic,-99.433334,27.533333,US,Texas,Webb,stated in text,minutes,outcrop,Lake Casa Blanca State Park
175705,16542,Procynodictis cf. vulpiceps,species,Procynodictis vulpiceps,Late Uintan,,46.2,40.4,3615,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,1,specimens,terrestrial,"carnivore, omnivore",phosphatic,-99.433334,27.533333,US,Texas,Webb,stated in text,minutes,outcrop,Lake Casa Blanca State Park
175803,16573,Lycophocyon hutchisoni,species,Lycophocyon hutchisoni,Uintan,,46.2,40.4,42169,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Lycophocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-117.099998,32.900002,US,California,San Diego,based on political unit,1,small collection,
175804,16574,Amphicyonidae indet.,family,Amphicyonidae,Uintan,,46.2,40.4,6294,Chordata,Mammalia,Carnivora,Amphicyonidae,,,,terrestrial,carnivore,phosphatic,-110.199997,40.099998,US,Utah,Duchesne,based on political unit,1,small collection,
175869,16585,Procynodictis progressus,species,Procynodictis progressus,Late Uintan,,46.2,40.4,3540,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-117.319405,33.1884,US,California,San Diego,based on nearby landmark,4,small collection,
175871,16585,Miacis ? cf. hookwayi,species,Miacis hookwayi,Late Uintan,,46.2,40.4,3540,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-117.319405,33.1884,US,California,San Diego,based on nearby landmark,4,small collection,
175921,16589,Procynodictis vulpiceps,species,Procynodictis vulpiceps,Uintan,,46.2,40.4,2802,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-109.283333,40.066666,US,Utah,Uintah,based on nearby landmark,minutes,,currently called Kennedy Wash according to Prothero 1996 (basis of coordinate)
175955,16590,n. gen. Lycophocyon n. sp. hutchisoni,species,Lycophocyon hutchisoni,Uintan,,46.2,40.4,42169,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Lycophocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-117.312439,33.150082,US,California,San Diego,based on political unit,6,small collection,
175966,16591,Carnivora ? indet.,order,Carnivora,Uintan,,46.2,40.4,1681,Chordata,Mammalia,Carnivora,,,,,terrestrial,"carnivore, omnivore",phosphatic,-117.312439,33.150082,US,California,San Diego,based on political unit,6,small collection,
175983,16594,Miacidae indet.,family,Miacidae,Uintan,,46.2,40.4,2767,Chordata,Mammalia,Carnivora,Miacidae,,,,terrestrial,carnivore,phosphatic,-109.616669,40.150002,US,Utah,Uintah,stated in text,minutes,outcrop,"3 mi N of Leota Ranch, 1 mi W of Green River, 6 mi N of Ouray\nthis is somewhere in secs 1 or 2, T8S R20E or sec 36, T7S R20E (coordinate based on sec 1)"
176036,16607,Procynodictis vulpiceps,species,Procynodictis vulpiceps,Uintan,,46.2,40.4,1344,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-109.933334,40.166668,US,Utah,Duchesne,stated in text,minutes,outcrop,"""SW1/4 section 6, T.4S., R.1E."" (Hamblin et al. 1999)"
176039,16607,Miocyon scotti,species,Miocyon scotti,Uintan,,46.2,40.4,6294,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-109.933334,40.166668,US,Utah,Duchesne,stated in text,minutes,outcrop,"""SW1/4 section 6, T.4S., R.1E."" (Hamblin et al. 1999)"
176090,16614,Miocyon cf. scotti,species,Miocyon scotti,Uintan,,46.2,40.4,6294,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-104.199997,29.9,US,Texas,Presidio,based on political unit,1,small collection,
176117,16615,Miocyon cf. scotti,species,Miocyon scotti,Uintan,,46.2,40.4,3540,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-117.300003,33.220001,US,California,San Diego,based on political unit,2,small collection,Oceanside
176158,16623,Uintacyon vorax,species,Miacis vorax,Early Uintan,,46.2,40.4,3338,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-108.099998,40.599998,US,Colorado,Moffat,based on political unit,1,,
176160,16623,Amphicyonidae ? indet.,family,Amphicyonidae,Early Uintan,,46.2,40.4,3338,Chordata,Mammalia,Carnivora,Amphicyonidae,,,,terrestrial,carnivore,phosphatic,-108.099998,40.599998,US,Colorado,Moffat,based on political unit,1,,
176226,16626,Miocyon sp.,genus,Miocyon,Late Uintan,,46.2,40.4,36145,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,1,specimens,terrestrial,"carnivore, omnivore",phosphatic,-107.599998,50.200001,CA,Saskatchewan,,based on nearby landmark,1,outcrop,13 mi. ESE of Swift Current
176227,16626,Hesperocyon sp.,genus,Hesperocyon,Late Uintan,,46.2,40.4,1139,Chordata,Mammalia,Carnivora,Canidae,Hesperocyon,1,specimens,terrestrial,"carnivore, omnivore",phosphatic,-107.599998,50.200001,CA,Saskatchewan,,based on nearby landmark,1,outcrop,13 mi. ESE of Swift Current
176228,16626,Caniformia indet. sp. 1 informal,species,Caniformia,Late Uintan,,46.2,40.4,3305,Chordata,Mammalia,Carnivora,,,5,specimens,terrestrial,"carnivore, omnivore",phosphatic,-107.599998,50.200001,CA,Saskatchewan,,based on nearby landmark,1,outcrop,13 mi. ESE of Swift Current
176256,16628,Miocyon vallisrubrae,species,Miocyon vallisrubrae,Uintan,,46.2,40.4,36145,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,county assignment uncertain
176308,16642,Miocyon sp.,genus,Miocyon,Uintan,,46.2,40.4,36145,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-108.699997,43.700001,US,Wyoming,Hot Springs,based on political unit,1,small collection,
176325,16645,cf. Procynodictis sp.,genus,Procynodictis,Uintan,,46.2,40.4,1405,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-108.699997,43.700001,US,Wyoming,Hot Springs,based on political unit,1,small collection,
176341,16646,Procynodictis vulpiceps,species,Procynodictis vulpiceps,Uintan,,46.2,40.4,6294,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-109.900002,40.200001,US,Utah,Uintah,based on political unit,1,,"Wagonhound Bend, on White River, Uinta County, Utah (Gaffney 1972)"
176342,16646,Miacis n. sp. uintensis,species,Prodaphaenus uintensis,Uintan,,46.2,40.4,2802,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-109.900002,40.200001,US,Utah,Uintah,based on political unit,1,,"Wagonhound Bend, on White River, Uinta County, Utah (Gaffney 1972)"
176343,16646,Miocyon n. sp. scotti,species,Miocyon scotti,Uintan,,46.2,40.4,2802,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-109.900002,40.200001,US,Utah,Uintah,based on political unit,1,,"Wagonhound Bend, on White River, Uinta County, Utah (Gaffney 1972)"
176383,16647,Miacis medius,species,Miacis medius,Uintan,,46.2,40.4,2495,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-109,41.700001,US,Wyoming,Sweetwater,based on political unit,1,,
176384,16647,Miacis washakius,species,Neovulpavus washakius,Uintan,,46.2,40.4,2495,Chordata,Mammalia,Carnivora,Canidae,Neovulpavus,,,terrestrial,"carnivore, omnivore",phosphatic,-109,41.700001,US,Wyoming,Sweetwater,based on political unit,1,,
176385,16647,Miacis cf. sylvestris,species,Harpalodon sylvestris,Uintan,,46.2,40.4,2495,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-109,41.700001,US,Wyoming,Sweetwater,based on political unit,1,,
176428,16649,Miacis sp.,genus,Miacis,Uintan,,46.2,40.4,2495,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-109,41.700001,US,Wyoming,Sweetwater,based on political unit,1,,
